iter	Passed	Remaining
515	663	622
516	664	621
517	665	619
518	666	617
519	667	616
520	668	614
521	669	612
522	670	611
523	671	609
524	672	608
525	673	606
526	673	604
527	674	603
528	675	601
529	676	600
530	677	598
531	678	596
532	679	595
533	680	593
534	681	592
535	682	590
536	683	589
537	684	587
538	685	586
539	686	584
540	687	583
541	688	581
542	689	580
543	690	578
544	691	576
545	691	575
546	692	573
547	693	572
548	694	570
549	695	569
550	696	567
551	697	566
552	698	564
553	699	562
554	700	561
555	701	559
556	701	558
557	702	556
558	703	555
559	704	553
560	705	552
561	706	550
562	707	549
563	708	547
564	709	546
565	710	544
566	711	543
567	712	541
568	713	540
569	713	538
570	715	537
571	715	535
572	716	534
573	717	532
574	718	531
575	719	529
576	720	528
577	721	526
578	722	525
579	723	523
580	724	522
581	725	520
582	726	519
583	726	517
584	727	516
585	728	514
586	729	513
587	730	511
588	731	510
589	732	508
590	733	507
591	734	506
592	735	504
593	736	503
594	737	501
595	738	500
596	739	498
597	740	497
598	740	496
599	741	494
600	742	493
601	743	491
602	744	490
603	745	488
604	746	487
605	747	486
606	748	484
607	749	483
608	750	481
609	751	480
610	752	478
611	753	477
612	754	476
613	755	474
614	755	473
615	756	471
616	757	470
617	758	469
618	759	467
619	760	466
620	761	464
621	762	463
622	763	462
623	764	460
624	765	459
625	766	457
626	766	456
627	767	454
628	768	453
629	769	451
630	770	450
631	771	449
632	772	447
633	773	446
634	774	445
635	775	443
636	776	442
637	776	440
638	777	439
639	778	438
640	779	436
641	780	435
642	781	433
643	782	432
644	783	431
645	784	429
646	785	428
647	785	426
648	786	425
649	787	424
650	788	422
651	789	421
652	790	419
653	791	418
654	792	417
655	793	415
656	794	414
657	795	413
658	795	411
659	796	410
660	797	409
661	798	407
662	799	406
663	800	404
664	801	403
665	802	402
666	803	400
667	804	399
668	804	398
669	805	396
670	806	395
671	807	394
672	808	393
673	809	391
674	810	390
675	811	389
676	812	387
677	813	386
678	814	385
679	815	383
680	816	382
681	817	381
682	818	379
683	819	378
684	820	377
685	821	375
686	821	374
687	822	373
688	823	371
689	824	370
690	825	369
691	826	367
692	827	366
693	828	365
694	829	363
695	830	362
696	831	361
697	831	359
698	832	358
699	833	357
700	834	356
701	835	354
702	836	353
703	837	352
704	838	350
705	838	349
706	839	348
707	840	346
708	841	345
709	842	344
710	843	342
711	844	341
712	845	340
713	846	338
714	847	337
715	848	336
716	849	335
717	849	333
718	851	332
719	852	331
720	853	330
721	854	328
722	854	327
723	856	326
724	857	325
725	857	323
726	858	322
727	859	321
728	860	319
729	861	318
730	862	317
731	863	316
732	864	314
733	865	313
734	866	312
735	867	311
736	868	309
737	868	308
738	869	307
739	870	305
740	871	304
741	872	303
742	873	302
743	874	300
744	875	299
745	876	298
746	877	297
747	878	296
748	879	294
749	880	293
750	881	292
751	882	290
752	883	289
753	884	288
754	885	287
755	886	285
756	886	284
757	887	283
758	888	282
759	889	280
760	890	279
761	891	278
762	892	277
763	893	275
764	894	274
765	895	273
766	896	272
767	897	270
768	897	269
769	898	268
770	899	267
771	900	266
772	901	264
773	902	263
774	903	262
775	904	261
776	905	259
777	906	258
778	907	257
779	908	256
780	909	254
781	910	253
782	911	252
783	912	251
784	912	250
785	913	248
786	914	247
787	915	246
788	916	245
789	917	243
790	918	242
791	919	241
792	920	240
793	921	239
794	922	237
795	923	236
796	924	235
797	925	234
798	926	232
799	927	231
800	927	230
801	928	229
802	929	228
803	930	226
804	931	225
805	932	224
806	933	223
807	934	222
808	935	220
809	936	219
810	937	218
811	938	217
812	939	216
813	940	214
814	940	213
815	941	212
816	942	211
817	943	209
818	944	208
819	945	207
820	946	206
821	947	205
822	948	203
823	949	202
824	950	201
825	950	200
826	951	199
827	952	197
828	953	196
829	954	195
830	955	194
831	956	193
832	957	191
833	958	190
834	959	189
835	960	188
836	961	187
837	961	185
838	962	184
839	963	183
840	964	182
841	965	181
842	966	180
843	967	178
844	968	177
845	969	176
846	970	175
847	971	174
848	971	172
849	973	171
850	973	170
851	974	169
852	975	168
853	976	166
854	977	165
855	978	164
856	979	163
857	980	162
858	981	161
859	982	159
860	982	158
861	983	157
862	984	156
863	985	155
864	986	153
865	987	152
866	988	151
867	989	150
868	990	149
869	991	148
870	992	146
871	993	145
872	994	144
873	994	143
874	995	142
875	996	141
876	997	139
877	998	138
878	999	137
879	1000	136
880	1001	135
881	1002	134
882	1003	132
883	1004	131
884	1005	130
885	1006	129
886	1007	128
887	1008	127
888	1008	125
889	1009	124
890	1010	123
891	1011	122
892	1012	121
893	1013	120
894	1014	119
895	1015	117
896	1016	116
897	1017	115
898	1017	114
899	1018	113
900	1019	112
901	1020	110
902	1021	109
903	1022	108
904	1023	107
905	1024	106
906	1025	105
907	1026	103
908	1027	102
909	1028	101
910	1028	100
911	1029	99
912	1030	98
913	1031	97
914	1032	95
915	1033	94
916	1034	93
917	1035	92
918	1036	91
919	1037	90
920	1038	89
921	1039	87
922	1040	86
923	1041	85
924	1042	84
925	1043	83
926	1044	82
927	1045	81
928	1046	79
929	1047	78
930	1048	77
931	1048	76
932	1049	75
933	1050	74
934	1051	73
935	1052	71
936	1053	70
937	1054	69
938	1055	68
939	1056	67
940	1056	66
941	1057	65
942	1058	64
943	1059	62
944	1060	61
945	1061	60
946	1062	59
947	1063	58
948	1064	57
949	1065	56
950	1066	54
951	1067	53
952	1068	52
953	1069	51
954	1070	50
955	1071	49
956	1071	48
957	1072	47
958	1073	45
959	1074	44
960	1075	43
961	1076	42
962	1077	41
963	1078	40
964	1079	39
965	1080	38
966	1080	36
967	1081	35
968	1082	34
969	1083	33
970	1084	32
971	1085	31
972	1086	30
973	1087	29
974	1088	27
975	1089	26
976	1090	25
977	1091	24
978	1092	23
979	1092	22
980	1093	21
981	1094	20
982	1095	18
983	1096	17
984	1097	16
985	1098	15
986	1099	14
987	1099	13
988	1100	12
989	1101	11
990	1102	10
991	1103	8
992	1104	7
993	1105	6
994	1106	5
995	1107	4
996	1108	3
997	1109	2
998	1110	1
999	1111	0
